id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,Group,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
2539,Brooklyn,40.647490000000005,-73.97237,Private room,149,1,9,0.21,6,365,2,0,1,0,0,0,0,1,0
2595,Manhattan,40.75362,-73.98376999999999,Entire home/apt,225,1,45,0.38,2,355,2,0,0,1,0,0,1,0,0
3831,Brooklyn,40.685140000000004,-73.95976,Entire home/apt,89,1,270,4.64,1,194,3,0,1,0,0,0,1,0,0
5022,Manhattan,40.79851,-73.94399,Entire home/apt,80,10,9,0.1,1,0,5,0,0,1,0,0,1,0,0
5099,Manhattan,40.74767,-73.975,Entire home/apt,200,3,74,0.59,1,129,5,0,0,1,0,0,1,0,0
5121,Brooklyn,40.68688,-73.95596,Private room,60,45,49,0.4,1,0,1,0,1,0,0,0,0,1,0
5178,Manhattan,40.76489,-73.98493,Private room,79,2,430,3.47,1,220,3,0,0,1,0,0,0,1,0
5203,Manhattan,40.80178,-73.96723,Private room,79,2,118,0.99,1,0,1,0,0,1,0,0,0,1,0
5238,Manhattan,40.713440000000006,-73.99037,Entire home/apt,150,1,160,1.33,4,188,5,0,0,1,0,0,1,0,0
5295,Manhattan,40.80316,-73.96545,Entire home/apt,135,5,53,0.43,1,6,5,0,0,1,0,0,1,0,0
5441,Manhattan,40.76076,-73.98867,Private room,85,2,188,1.5,1,39,1,0,0,1,0,0,0,1,0
5803,Brooklyn,40.66829,-73.98779,Private room,89,4,167,1.34,3,314,2,0,1,0,0,0,0,1,0
6021,Manhattan,40.79826,-73.96113000000001,Private room,85,2,113,0.91,1,333,2,0,0,1,0,0,0,1,0
6090,Manhattan,40.7353,-74.00525,Entire home/apt,120,90,27,0.22,1,0,5,0,0,1,0,0,1,0,0
6848,Brooklyn,40.70837,-73.95352,Entire home/apt,140,2,148,1.2,1,46,5,0,1,0,0,0,1,0,0
7097,Brooklyn,40.69169,-73.97185,Entire home/apt,215,2,198,1.72,1,321,2,0,1,0,0,0,1,0,0
7322,Manhattan,40.74192,-73.99501,Private room,140,1,260,2.12,1,12,1,0,0,1,0,0,0,1,0
7726,Brooklyn,40.67592,-73.94694,Entire home/apt,99,3,53,4.44,1,21,3,0,1,0,0,0,1,0,0
7801,Brooklyn,40.71842,-73.95718000000001,Entire home/apt,299,3,9,0.07,1,0,5,0,1,0,0,0,1,0,0
8024,Brooklyn,40.680690000000006,-73.97706,Private room,130,2,130,1.09,6,347,2,0,1,0,0,0,0,1,0
8025,Brooklyn,40.67989,-73.97798,Private room,80,1,39,0.37,6,364,2,0,1,0,0,0,0,1,0
8110,Brooklyn,40.680009999999996,-73.97865,Private room,110,2,71,0.61,6,304,2,0,1,0,0,0,0,1,0
8490,Brooklyn,40.68371,-73.94028,Entire home/apt,120,2,88,0.73,2,233,2,0,1,0,0,0,1,0,0
8505,Brooklyn,40.65599,-73.97519,Private room,60,1,19,1.37,2,85,1,0,1,0,0,0,0,1,0
9357,Manhattan,40.76715,-73.98533,Entire home/apt,150,10,58,0.49,1,75,5,0,0,1,0,0,1,0,0
9518,Manhattan,40.86482,-73.92106,Private room,44,3,108,1.11,3,311,2,0,0,1,0,0,0,1,0
9657,Manhattan,40.7292,-73.98541999999999,Entire home/apt,180,14,29,0.24,1,67,5,0,0,1,0,0,1,0,0
9668,Manhattan,40.82245,-73.95104,Private room,50,3,242,2.04,3,355,2,0,0,1,0,0,0,1,0
9704,Manhattan,40.81305,-73.95466,Private room,52,2,88,1.42,1,255,2,0,0,1,0,0,0,1,0
